23/04/2013 15:21:20 - New match 11348965 has started
23/04/2013 15:21:22 - Marck killed Roman using AK47
23/04/2013 15:21:23 - Marck killed Roman using AK47
23/04/2013 15:21:25 - Marck killed Roman using AK47
23/04/2013 15:21:27 - Marck killed Roman using AK47
23/04/2013 15:29:30 - Marck killed Roman using AK47
23/04/2013 15:35:04 - Nick killed Roman using WS
23/04/2013 15:35:14 - Roman killed Nick using EAGLE
23/04/2013 15:35:24 - Marck killed Roman using AK47
23/04/2013 15:36:04 - Roman killed Nick using M16
23/04/2013 15:36:14 - Ralph killed Nick using GLOCK
23/04/2013 15:36:24 - Roman killed Nick using M16
23/04/2013 15:36:44 - Roman killed Marck using AK47
23/04/2013 15:36:54 - Roman killed Ralph using GLOCK
23/04/2013 15:36:54 - Roman killed Nick using M16
23/04/2013 15:36:59 - Marck killed Ralph using M16
23/04/2013 15:37:00 - Marck killed Nick using GLOCK
23/04/2013 15:37:01 - Zack killed Ralph using GLOCK
23/04/2013 15:37:04 - Zack killed Marck using GLOCK
23/04/2013 15:37:07 - Zack killed Ralph using AK47
23/04/2013 15:37:14 - Zack killed Marck using AK47
23/04/2013 15:37:22 - Zack killed Roman using AK47
23/04/2013 15:38:33 - <WORLD> killed Ralph by DROWN
23/04/2013 15:39:33 - <WORLD> killed Roman by DROWN
23/04/2013 15:40:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:42:22 - Match 11348965 has ended
